Brand No.,Brand Title,English,Japanese,Maker title 
28478,エレクトロラクス,Electrolux,エレクトロラクス,
28499,ヒルティ,HILTI,ヒルティ,
28500,デウォルト,DeWALT,デウォルト,
28583,シンジ カトウ,Shinzi Katoh,シンジカトウ,
28623,ARSON,ARSON,アルスン,
28636,アルケミーゴシック,Alchemy Gothic,アルケミーゴシック,
28730,ブリヂストン,BRIDGESTONE,ブリヂストン,
28750,TOPMAN,TOPMAN,トップマン,
28873,コルセア,Corsair,コルセア,
28907,フィナーレ,Finale,フィナーレ,
28830,エージェント プロヴォケーター,Agent Provocateur,エージェントプロヴォケーター,
28985,フェリージ,Felisi,フェリージ,
28986,WILLSON,WILLSON,ウイルソン,
29002,エイサー,Acer,エイサー,
29177,クリーンカンティーン,klean kanteen,クリーンカンティーン,
29187,ヴァレンティノガラバーニ,Valentino garavani,ヴァレンティノガラバーニ,
29207,Crank Brothers,Crank Brothers,クランクブラザース,
29208,キャットアイ,CAT EYE,キャットアイ,
29210,トムソン,THOMSON,トムソン,
29213,ボーネルンド,BorneLund,ボーネルンド,
29214,Velo,Velo,ベロ,
29238,スライ,SLY,スライ,
29246,アイシンクソー,ithinkso,アイシンクソー,
29349,インケース,INCASE,インケース,
29478,kitson,kitson,キットソン,
29504,スラセンジャー,Slazenger,スラセンジャー,
29507,ベントレー,BENTLEY,ベントレー,
29514,日本香堂,nippon kodo,日本香堂,
29614,京セラ,kyocera,京セラ,
29752,テライヨン,Terraillon,テライヨン,
29893,べクセル,BEXEL,べクセル,
29929,SOLGAR,SOLGAR,ソルガ,
30022,アヴリル,Avril,アヴリル,
30051,Google,Google,グーグル,
30071,クーラーマスター,CoolerMaster,クーラーマスター,
30177,アイディースター,IDSTAR,アイディースター,
30181,インヴィクタ,INVICTA,インビクタ,
30193,トーノー,tono,トーノー,
30220,ナイオキシン,Nioxin,ナイオキシン,
30355,スリック,SRIC,スリック,
30367,カラーラント,Colorant,カラーラント,
30398,クレーム,CREME,クレーム,
30409,クダモノナラ,Kwailnara,クダモノナラ,
30527,Childlife,Childlife,チャイルドライフ,
30583,ビファイン,BEFINE,ビファイン,
30614,インテックス,Intex,インテックス,
30647,Korg,Korg,コルグ,
30664,ジャノー,Janod,ジャノー,
30725,ティーディーケイ,TDK,ティーディーケイ,
30765,ディーフ,DEFF,ディーフ,
30872,ヒューロム,HUROM,ヒューロム,
31083,ハッピーコール,happycall,ハッピーコール,
31096,ズムリード,Zumreed,ズムリード,
31116,フロムビー,FROMB,フロムビー,
31128,ユーパ,EUPA,ユーパ,
30980,前畑,maebata,まえばたけ,
31177,カヌ,KANU,カヌ,
31196,エナジャイザー,Energizer,エナジャイザー,
31215,マンマ,mOmma,マンマ,
31236,ゼクーカラー,ZECOO COLOR,ゼクーカラー,
31298,ジェイクルー,J.Crew,ジェイクルー,
31341,トレセメ,TRESemme,トレセメ,
31446,ブレオ,breo,ブレオ,
31454,ユピテル,YUPITERU,ユピテル,
31488,GIVI,GIVI,ジビ,
31406,ヴィンチュリー,Vinturi,ヴィンチュリー,
31575,Natures Way,Natures Way,ネイチャーズウェイ,
31695,アイピータイム,iptime,アイピータイム,
31701,アプリ,Apli,アプリ,
31707,レキサー,Lexar,レキサー,
31713,キッズメイト,Kidsmate,キッズメイト,
31689,キッチンアート,Kitchen art,キッチンアート,
31759,シーメンス,SIEMENS,シーメンス,
31865,7321デザイン,7321 Design,7321デザイン,
31875,イーロ,iroo,イーロ,
31880,イリュージョニスト,Ellusionist,イリュージョニスト,
32003,Paldo,Paldo,パルド,
32262,Joyo,Joyo,ジョーヨー ,
32283,マキタ,makita,マキタ,
32289,ACDELCO,ACDELCO,エーシーデルコ,
32296,メガハウス,megahouse,メガトイ,
32298,カムコ,camco,カムコ,
32305,キングマックス,Kingmax,キングマックス,
32313,ミッション,MISSION,ミッション,
32338,ジェニック,XENICS,ジェニック,
32385,ハイドロゲン,HYDROGEN,ハイドロゲン,
32395,Yankee Candle,Yankee Candle,ヤンキーキャンドル,
32417,シェーファー,Sheaffer,シェーファー,
32420,キャタピラー,CATERPILLAR,キャタピラー,
32446,フォーカル,Focal,フォーカル,
32449,ウィルトン,Wilton,ウィルトン,
32476,シャークーン,Sharkoon,シャークーン,
32499,Vic Firth,Vic Firth,ヴィクファース,
32531,アルタナ,Alterna,アルタナ,
32532,アルフレッドサン,Alfred Sung,アルフレッドサン,
32533,アルマンド バジ,ARMAND BASI,アルマンドバジ,
32547,エクセプショナルパフュームス,Exceptional Parfums,エクセプショナルパフュームス,
32553,アーノラズロ,Erno Laszlo,アーノラズロ,
32556,エレントレーシー,Ellen Tracy,エレントレーシー,
32568,カメオ,Cameo,カメオ,
32569,カメレオン,Cameleon,カメレオン,
32572,カルラフラッチ,Carla Fracci,カルラフラッチ,
32573,カルロコリント,Carlo Corinto,カルロコリント,
32581,キューバ,Cuba,キューバ,
32614,J.F.ラザルティーグ,J. F. Lazartigue,J.F.ラザルティーグ,
32615,ジェイデルボソ,Jesus Del Pozo,ジェイデルボソ,
32617,ジェシカマクリントック,Jessica McClintock,ジェシカマクリントック,
32620,ジバゴ,Jivago,ジバゴ,
32605,ザーインターナショナル,Zirh International,ザーインターナショナル,
32626,ジャン・シャルル・ブロッソー,Jean-Charles Brosseau,ジャンシャルルブロッソー,
32629,ジャンデプレ,Jean Desprez,ジャンデプレ,
32633,ジャンルイシェレル,Jean-Louis Scherrer,ジャンルイシェレル,
32638,ジョープ,Joop,ヨープ,
32640,ショーンジョン,Sean John,ショーンジョン,
32645,ジョルジオ バレンティ,Giorgio Valenti,ジョルジオバレンティ,
32680,DS ラボラトリーズ,DS Laboratories,DSラボラトリーズ,
32711,セルッティ,Cerruti,セルッティ,
32726,パロマピカソ,Paloma Picasso,パロマピカソ,
32735,ビルブラス,Bill Blass,ビルブラス,
32740,プーチ,Puig,プーチ,
32742,ブシュロン,Boucheron,ブシュロン,
32749,Prevage,Prevage,プリベージ,
32755,フレデリック・フェッカイ,Frederic Fekkai,フレデリックフェッカイ,
32793,マリリンミグリン,Marilyn Miglin,マリリンミグリン,
32798,モーブッサン,Mauboussin,モーブッサン,
32801,モリナール,Molinard,モリナール,
32802,モリヌー,Molyneux,モリヌー,
32809,ラ ペルラ,La Perla,ラペルラ,
32812,ラリック,Lalique,ラリック,
32814,リーラック,Lierac,リーラック,
32816,リズ クレイボーン,Liz Claiborne,リズクレイボーン,
32820,レオナルド,Leonard,レオナルド,
32821,ロイヤルコペンハーゲン,Royal Copenhagen,ロイヤルコペンハーゲン,
32823,ラウラビアジョッティ,Laura Biagiotti,ラウラビアジョッティ,
32827,ロベルトカヴァリ,Roberto Cavalli,ロベルトカヴァリ,
32831,ロリスアザロ,Loris Azzaro,ロリスアザロ,
32840,アテナ,Athena,アテナ,
32860,ビンセントロンゴ,Vincent Longo,ビンセントロンゴ,
32863,ナフ-ナフ,Naf-Naf,ナフ-ナフ,
32869,ナーゾマット,Nasomatto,ナーゾマット,
32877,ピュアロジー,Pureology,ピュアロジー,
32878,レッドケン,Redken,レッドケン,
32886,セバスティアン,Sebastian,セバスティアン,
32888,REN,REN,レン,
32889,ゴールドウェル,Goldwell,ゴールドウェル,
32894,フローリス,Floris,フローリス,
32902,ヘンプズ,Hempz,ヘンプズ,
32903,ジョイコ,Joico,ジョイコ,
32909,キトン,Kiton,キトン,
32916,セラピーg,Therapy-g,セラピーg,
32926,イネス,INES,イネス,
32930,ケラチンコンプレックス,Keratin Complex,ケラチンコンプレックス,
32936,コスメディックス,CosMedix,コスメディックス,
32942,フィリップキングスレー,Philip Kingsley,フィリップキングスレー,
32948,アメリカンクルー,American Crew,アメリカンクルー,
32958,クリスチャンオードジェー,Christian Audigier,クリスチャンオードジェー,
32971,カノン,Kanon,カノン,
32999,Xフュージョン,XFusion,Xフュージョン,
33001,KMSカリフォルニア,KMS California,KMSカリフォルニア,
33011,デビッドヤーマン,David Yurman,デビッドヤーマン,
33024,ウィダッド,Ouidad,ウィダッド,
33027,フソウ,Fuso,フソウ,
33032,ロマーニ,Lomani,ロマーニ,
33017,アルファパルフ,AlfaParf,アルファパルフ,
33020,ロバートピケ,Robert Piguet,ロバートピケ,
33045,ファッジ,Fudge,ファッジ,
33067,エンリコ・コベリ,Enrico Coveri,エンリココベリ,
33069,エヴァ ロンゴリア,Eva Longoria,エヴァロンゴリア,
33104,カウシェッド,Cowshed,カウシェッド,
33105,ロイヤルフレグランス,Royall Fragrances,ロイヤルフレグランス,
33117,メイトルパルフュムールエガンティエ,Maitre Parfumeur et Gantier,メイトルパルフュムールエガンティエ,
33118,バルデッサリーニ,Baldessarini,バルデッサリーニ,
33124,アムアージュ,Amouage,アムアージュ,
33142,ビーンポール,BEANPOLE,ビーンポール,
33181,GHS,GHS,ジーエイチエス,
33195,ラミー,LAMY,ラミー,
33200,ロゼモン,Rosemont,ロゼモン,
33211,モンテミラノ,Monte Milano,モンテミラノ,
33256,ナトラケア,natracare,ナトラケア,
33318,トワイニング,TWININGS,トワイニング,
33321,ファニーメイド,funnymade,ファニーメイド,
33356,ターガス,Targus,ターガス,
33360,アニヤハインドマーチ,Anya Hindmarch,アニヤハインドマーチ,
33380,チューンウェア,Tunewear,チューンウェア,
33341,LG電子,LG,LG電子,
33351,フィニス,FINIS,フィニス,
33484,ユリウス,JULIUS,ユリウス,
33491,VOX,VOX,ヴォックス,
33494,フランスベッド,France Bed,フランスベッド,
33516,マイセン,Meissen,マイセン,
33629,BASSO homme,BASSO homme,バソオム,
33659,blu:moon,blu:moon,ブルームーン,
33684,クオラテックス,Qualatex,クオラテックス,
33772,ベアバ,Beaba,ベアバ,
33851,SINUGA,SINUGA,シヌガ,
33976,ヘインズ,Hanes,ヘインズ,
34139,Butterfly,Butterfly,バタフライ,
34825,ラヴィ,LaVie,ラヴィ,
35120,アミーゴ,AMIGO,アミーゴ,
35159,Mennen,Mennen,メネン,
35253,ユビセイフ,UBISAFE,ユビセイフ,
35312,トピック,Toppik,トピック,
35862,ファルケ,Falke,ファルケ,
35874,スティーブマデン ,Steve Madden,スティーブマデン,
35913,Aldo,Aldo,アルド,
36098,レベッカミンコフ,REBECCA MINKOFF,レベッカミンコフ,
36160,GAMMAC,GAMMAC,GAMMAC,
36258,キコ ミラノ,Kiko Milano,キコミラノ,
36283,ムスタッシュ,Moustache,ムスタッシュ,
36350,goldenbell,goldenbell,ゴールデンベル,
36351,SAERA,SAERA,サエラ,
36358,ラプリズ,Lapriz,ラプリズ,
36366,MOST,MOST,モスト,
36313,ブレビル,Breville,ブレビル,
36424,ワンダーブラ,Wonderbra,ワンダーブラ,
36506,ブラックマルティーヌシットボ,Black Martine Sitbon,ブラックマルティーヌシットボ,
36538,ヴィセッタンタトレ,V73,ヴィセッタンタトレ,
36564,長谷製陶,haseseitou,長谷製陶,
36524,ビアレッティ,bialetti,ビアレッティ,
36594,佐藤製薬,sato,佐藤製薬,
36748,ブラザ,Braza,ブラザ,
36861,サーズデイアイランド,ThursdayIsland,サーズデイアイランド,
37102,クロスオーバー,CrossOver,クロスオーバー,
37160,ビルトニューヨーク,Built NY,ビルトニューヨーク,
37240,アステル アンド ケルン,ASTELL&KERN,アステルアンドケルン,
37303,アロマコンセプト,AROMA CONCEPT,アロマコンセプト,
37332,ハネウェル,honeywell,ハネウェル,
37354,ウェットアンドワイルド,Wet n Wild,ウェットアンドワイルド,
37390,スアビス,SUAVISS,スアビス,
37422,ヨシカワ,YOSHIKAWA,ヨシカワ,
37497,ホールマーク,Hallmark,ホールマーク,
37503,アンディフィーテッド,UNDEFEATED,アンディフィーテッド,
37532,マクセル,Maxell,マクセル,
37609,ジェスタックス,JESTTAX,ジェスタックス,
37794,ブルーラウンジ,bluelounge,ブルーラウンジ,
37827,JUMBO,JUMBO,ユンボ,
37879,ルディプロジェクト,RUDY PROJECT,ルディプロジェクト,
37893,クーガー,COUGAR,クーガー,
37648,レディキン,Ladykin,レディキン,
37777,デイリーライク,Dailylike Korea,デイリーライク,
38103,ネームデコ,NameDeco,ネームデコ,
38237,ALMOST FAMOUS ,ALMOST FAMOUS ,オールモウストフェイマス,
38253,ベルナー,Borner,ベルナー,
38287,ユニコ,unico,ユニコ,
38362,トトボボ,Totobobo,トトボボ,
38423,キャッツフェイス,Cat's FACE,キャッツフェイス,
38582,フラウニーズ,Frownies,フラウニーズ,
38850,KIDIGI クレードル,KiDiGi,KIDIGIクレードル,
39136,ゼニックス,Xenix,ゼニックス,
39204,ルミナス,Luminous,ルミナス,
39275,フィトメール,phytomer,フィトメール,
39355,フル・デザイン,by.fulldesign,フルデザイン,
39495,バジャー,BADGER,バジャー,
39647,ソダ,SODA,ソダ,
39721,Godox,Godox,ゴドックス,
39785,マヌカヘルス,Manuka Health,マヌカヘルス,
39812,日本碍子,NGK INSULATORS,日本ガイシ,
39839,Cube Entertainment,Cube Entertainment,キューブエンターテインメント,
39870,エイデータ,Adata,エイデータ,
39871,アクィーラ,Aquila,アクィーラ,
39916,オーガスチン,Augustine,オーガスチン,
39920,マルカート,Marcato,マルカート,
39944,エマニュエルウンガロ,Emanuel Ungaro,ウンガロ,
39971,msi,msi,エムエスアイ,
40014,リモワ スーツケース,RIMOWA,リモワ,
40051,オリコ,Orico,オリコ,
40053,アバーメディア,AVerMedia,アバーメディア,
40044,ウォール,WAHL,ウォール,
40171,サンライフ,Sunlife,サンライフ,
40187,ジェイバード,Jaybird,ジェイバード,
40219,ウォーリアー,Warrior,ウォーリアー,
40280,ローリングス,RAWLINGS,ローリングス,
40346,Zoom,Zoom,ズーム,
40414,秋月貿易,akitzuki,あきづきぼうえき,
40489,ジージーピーエックス,GGPX,ジージーピーエックス,
40510,ボトコラックス,BOTOCOLLAX,ボトコラックス,
40566,シアテ,Ciate,シアテ,
40582,Scud,Scud,スカッド,
40696,パジャー,PAJAR,パジャー,
40848,ハイプラス,hyplus,ハイプラス,
40860,デューウォン,Doowon,デューウォン,
40897,ウイニング,WINNING,ウイニング,
40773,レジンピュア,Regenepure,レジンピュア,
